,CUDI_REPRO,CULT_REPRO,CUNO_REPRO,GRLT,GRWD,GRWT100,HDG_80HEAD,LIGLT,LLT,LWD,PLT_POST,SDHT,country,region,subespecie
IRIS_313.11327,6.0,175.0,12.0,10.6,3.1,3.3,117.0,25.0,54.0,2.2,26.0,57.0,Thailand,SEA,IND
IRIS_313.9790,5.0,76.0,15.0,8.3,3.3,2.8,70.0,10.0,37.0,1.2,18.0,20.0,Uruguay,AME,JAP
IRIS_313.10702,5.8,148.0,11.0,9.6,2.2,1.9,153.0,20.0,70.5,1.4,29.9,50.0,Malaysia,SEA,IND
IRIS_313.11322,5.0,135.0,19.0,7.9,3.3,2.6,88.0,23.0,59.0,1.3,22.0,33.0,Bangladesh,SAS,AUS
IRIS_313.11717,4.0,88.0,12.0,8.8,3.2,2.8,132.0,25.0,53.0,1.5,23.0,26.0,Indonesia,SEA,IND
IRIS_313.8326,5.0,119.0,20.0,6.2,3.2,1.6,101.0,15.0,50.0,1.2,30.0,19.0,India,SAS,ARO
IRIS_313.8385,6.0,120.0,20.0,6.4,3.1,1.5,109.0,18.0,72.0,1.7,31.0,26.0,India,SAS,ARO
IRIS_313.9629,6.0,127.0,20.0,6.8,2.5,1.0,115.0,26.0,67.0,1.1,34.0,24.0,India,SAS,ARO
IRIS_313.10951,5.0,133.0,13.0,8.4,2.4,2.0,134.0,25.0,70.0,1.8,30.0,23.0,Indonesia,SEA,IND
IRIS_313.10067,5.0,70.0,16.0,9.3,3.5,3.2,67.0,6.0,29.0,1.0,17.0,42.0,South_Korea,EAS,JAP
IRIS_313.9262,4.0,135.0,18.0,8.9,2.9,2.2,103.0,18.0,56.0,1.4,28.0,39.0,Bangladesh,SAS,IND
IRIS_313.11323,5.0,117.0,26.0,7.8,2.9,2.5,88.0,17.0,57.0,1.4,22.0,29.0,Bangladesh,SAS,AUS
IRIS_313.10981,5.0,128.0,17.0,7.7,3.2,2.6,75.0,22.0,49.0,1.2,22.0,31.0,Bangladesh,SAS,AUS
IRIS_313.11866,4.7,72.0,29.0,7.6,3.1,2.2,84.0,14.0,35.0,1.3,22.0,40.0,China,EAS,IND
IRIS_313.11576,3.0,97.0,24.0,9.0,2.9,2.3,72.0,14.0,51.0,0.7,19.0,28.0,China,EAS,IND
IRIS_313.11802,4.0,118.0,17.0,8.6,3.3,2.8,89.0,22.0,55.0,1.2,25.0,51.0,China,EAS,IND
IRIS_313.11665,3.0,54.0,12.0,9.0,3.2,3.0,84.0,9.0,38.0,1.2,25.0,35.0,China,EAS,IND
IRIS_313.8405,4.0,97.0,22.0,8.0,2.9,2.1,88.0,21.0,53.0,1.2,23.0,34.0,China,EAS,IND
